city,location,text
chicago,"Chicago, IL",RT @omahaulmall: If my man ever cheat it better b w a bitch like you https://t.co/9WBV1JdLeU
chicago,"Chicago, Miami, Dallas, LA",RT @carlosvives: Te quiero besos!!! https://t.co/9mvjwJ7NHa
los angeles,Los Angeles/Orange County,"MikaJoe histrionics beneath the dignity of show on a news network, said nobody.

 https://t.co/UpcLQmFjY4"
houston,"Houston, TX","RT @apollineglrd: les employés en surpoids prc qu'ils ont mangé trop de confiture de fraise ils feraient mieux d'aller nager 50m en 24,07 s…"
houston,"Houston, TX","sure Stalin killed 20 million people, caused environmental disasters but trains did run on time. https://t.co/buT17ubSDT"
miami,Miami🇺🇸,حيوانه 😂😂😂😂😂😂😂
los angeles,Los Angeles,RT @Only_rock_radio: #promotion #music #rock #indie #np @lunar_rogue - Insane https://t.co/LLjLENuRvV
houston,"Houston, TX",RT @Hoee_ImLit: SOLLUMINNATI (@PrinceTatted) RESPONDS TO LOSPOLLOS 1v1 CHALLENGE https://t.co/JA1rD7mMMn
new orleans,"New Orleans, LA","Eu tô apaixonado, por você E a gente não tem nada a perder Só é feliz quem ama... uoouoou 🎶❤"
atlanta,houstatlantavegas,Semis should not ever be in the left lane wtf move over ya big bitch
atlanta,"Atlanta, GA",RT @kendraaowens: 😭😭😭😭😭😭 https://t.co/UwvwJGSeb3
los angeles,"Los Angeles, CA",RT @yuteesonyu: คำว่า UFO ที่เราได้ยินมาตั้งแต่เด็ก ย่อมาจาก Unidentified Flying Object แปลตรงตัวก็ วัตถุลอยได้ที่ไม่ปรากฎชื่อ
seattle,Seattle,"Good morning Quebec City, I will do all my sightseeing from my hotel room, it seems? https://t.co/1rz9DQKL4f"
los angeles, Belize-Los Angeles ,😂😂😂 https://t.co/GZqOQqmb0i
houston,"Houston, TX",Charles Jenkins &amp; Fellowship Chicago - Fellowship (medley)  #playingnow #GospelMusic #Christian #Praise https://t.co/8aw368vRmD
los angeles,"Los Angeles, CA",RT @rynmcmns: Politicians are using this crowdfunding platform for campaign donations. https://t.co/Yc52KtuSR0 #crowdfunding #moneyinpoliti…
houston,"Woont 10 uur van Houston, TX",@JorisKroezen Amateur.
detroit,"Detroit, MI",RT @travyscotty: Travis &amp; Quavo finishing up the collab album in LA https://t.co/rgvIrp5GH6
chicago,"Chicago, IL",#Supportforsupport #SupportforSupport Put your orders in Now with  peepgame1hun 4 #DASH #clothes #Woman #dashonem … https://t.co/1jm1PiP2h5
los angeles,"Los Angeles, CA",099-To establish an eligibility list. (Various Sites) Campus Safety Aide https://t.co/ayWMoUaVTJ @GovernmentJobs
dallas,Dallas Tx,RT @amodernmomlife: Create A Delicious Ice Cream Waffle Bar For Your Fourth of July Party! https://t.co/VygGE9iZEx @gingercasa1 https://t.c…
houston,"Houston, TX",RT @CookieLyon03: LMFAO https://t.co/b3BOHK7Mpp
denver,"Denver, Colorado",@Salouazen ...know more details through private message so we can help you. 2/2
chicago,"Chicago, IL",RT @jeff_jssj: Yesterday I learned that my mom has no idea what our dog looks like https://t.co/N6xUWvseci
denver,"Denver, CO",RT @GentileeRed: https://t.co/Ml9gGnRSZE
houston,"Houston, TX",@mikemayerMMO Future all star team lineup
chicago,"Chicago, IL",@chasesnider @McAlistersDeli @pmac3s Don Ize 4 P.R.E.S.i.D.E.N.T. 2020 THE STATE OF AMERICA FUCCED UP I'm THE GUY U… https://t.co/djnC5xTSP6
philadelphia,Philadelphia,"RT @JonNegroni: \"Jurassic Park\" but the dinosaurs are from the 90s TV show \"Dinosaurs.\" Whoever made this deserves an award:…"
houston,HOUSTON,@ them!👀 https://t.co/03qHyTJEt1
miami,Miami florida,RT @sol_report: 5 Things You Didn't Know About Phillips 66 https://t.co/9Fd54iJ9Wy
miami,"Miami, OK",-  https://t.co/DFfG5ldlod
seattle,Seattle,@iamlagani @Andy_Lunique Videos count. I think video of this super counts.
houston,"Houston, TX",Lets talk about the Disney magic Kingdoms update reveal live on youtube! https://t.co/vVkJsAMLId https://t.co/nH7okPEps4
atlanta,"Atlanta, GA",RT @IssaSista: They always try to sneak and do it a year or two later . We'll NEVER forget . #SayHerName https://t.co/7x4UG7lLhh
miami,"Miami, FL",-  https://t.co/WduSTjIq6P
boston,Boston,"I don't think I'll like the new Jackie Chan movie because it's not an action comedy, but I'm up to try it on."
los angeles,"Los Angeles, California",https://t.co/QeRhOdMluQ
los angeles,"Los Angeles, CA",Really considering having a BBQ upon my return
houston,"Houston, TX","RT @kush4heaux: \"darling this is chamomile tea.\" https://t.co/jwZyaLzNtH"
miami,"Miami, FL",RT @KrazehKai: A preview of my FE sketch art books~ 💕 https://t.co/VH8pemP8Wb
houston,"Houston, TX",@W00dlee Bout 300k I think
philadelphia,"Philadelphia, PA","@HUDgov says- 30M homes have internal issues (Mold, Pests, Lead etc.) #PhillyRentHealthy #NHHM2017"
los angeles,"Los Angeles, CA",@camerondallas Yasssssssssss
philadelphia,"Philadelphia, PA",RT @ItMeIRL: me irl https://t.co/hEdWSvV4VE
los angeles,Los Angeles,"RT @AnnCarpenter_: @selenaxhanna @ShawnMendes No, ayer se cumplió 3 meses jsjs"
new orleans,"New Orleans, LA",RT @_Rhetthebert_: Son😂 https://t.co/yI3XEIB8MS
boston,"Boston, MA","From #Brexit to #POTUS, what the last year has taught us about geopolitical risk management: https://t.co/PMGeWxyA9l https://t.co/3cy6TpPM68"
detroit,❄Detroit❄,RT @Hakflak: @PasqualeTotaro @semicvet50 @BrindusaB1 @overlooki @Papryka5 @PatriziaRametta @TizianaRomano7 @RitaCobix @arnabch01…
los angeles,"Los Angeles, CA",RT @hiro_mashima: 買い物メモ https://t.co/lfUa14mL0u
miami,"Miami, FL",Si las energías renovables son menos costosas ¿por qué no se masifican? #GrandesMedios https://t.co/EN2KLqEeyj
houston,"Houston, TX",RT @FGC_Theo: When your trait bat gets pushblocked but you have two more trait bats loaded on deck and your opponent ran out of m…
denver,"Denver, CO","RT @taaylorj_: @Yahweigh Did a black woman raise you and just...
Because I'm really trying to figure out where this hate is coming…"
los angeles,"Los Angeles,CA ✈️ Newark,DE","RT @yourlru: you wake up next to a god damn chocolate chip cookie honey smooth goddess? what club you goin to? sign me UP, drop…"
los angeles,"Los Angeles, CA",RT @Showerldea: Professors who have PhDs can cancel class any time because they can write themselves a doctor’s note
new orleans,"New Orleans, LA",Y'all should . https://t.co/trSBw3wWUc
chicago,"Chicago, IL",@thefiveharts @McAlistersDeli Don Ize 4 P.R.E.S.i.D.E.N.T. 2020 THE STATE OF AMERICA FUCCED UP I'm THE GUY U NEED 2… https://t.co/u485gvngop
chicago,Chicago,"@TetrologyGaming @GrandesDevotion really? so straights are shamed when with their bf/gf in public, harassed or beat… https://t.co/Y5S3NXSovZ"
atlanta,"Atlanta, GA","RT @anniegowen: On the day when @narendramodi decries violence for the sake of sacred cow, another lynching in India https://t.co/vI34CFXbn6"
miami,Miami,@Stevezus @r_rod26 My boy welinton q gave him some seeds
los angeles,"Los Angeles, CA","RT @deadhomosexual: everyone else's brand: serving looks, radiating positivity
my brand: being emotionally damaged and tweeting about dick"
boston,Boston,@MattECohen Never underestimate a old Boston guy with daughters.
los angeles,"Los Angeles, CA",Don't wanna go to court. Pero fuck it I have to I guess
chicago,"Chicago, IL","Thereafter, although no formal agreement was ever made or hinted at, no more bombs were dropped. @realdonaldtrump #1984"
boston,"Here ,BOSTON. USA",https://t.co/Cz4ia5BiFE
houston,"Houston, TX",TRAVIS SCOTT SUCKS @ ME 🖕🏽🖕🏽
