city,location,text
chicago,"Chicago, IL",@JENNI_KNIGHT_24 thanks 💜💜💜 I get super intense vivid dreams / nightmares like every night 🙃
dallas,"Dallas, TX",;^)o/\o https://t.co/soLcs8XcKp
atlanta,"Atlanta, GA",@StParmenide @gogreen18 @MsBlaireWhite Can you point to an argument of mine and show how I've subjectively drawn a conclusion?
miami,"West Miami, FL",RT @LILAFRIMANE: kanye made it out of the sunken place. let's celebrate. https://t.co/qQyYSV7JLQ
boston,"Boston, MA",15 Applications of Artificial Intelligence in Marketing https://t.co/6a92nQoXal #ai #ml #dl
houston,"Houston, TX","RT @chlothegod: bitch if I was making $10,000 every 27 seconds I would love it too. https://t.co/6bw7iaVJ2K"
los angeles,"Los Angeles, CA",https://t.co/ucPv4bpItt
chicago,"The Region/Chicago, IL","RT @HistoryInPics: Protesting hiring practices of Bowman's Dairy, Chicago, 1941. https://t.co/ZL63I1thbm"
dallas,"dallas,tx","RT @MiaAshley23: when you text someone across the room &amp; you waiting for them to see it but then they scream \"why'd you text me\" https://t.…"
chicago,"Chicago, IL",RT @sincerelyybreee: 😂😂😂😂 https://t.co/XLGUoCZYJi
houston,Houston,RT @blankvisions: having a girl like me..i'm a handful &amp; will get u mad like crazy but there's no one in the world who will love &amp; take car…
los angeles,"Los Angeles, CA",@MasterTes you apologize to Go DJ
chicago,"Chicago, IL",@steffanpedersen So curious. I wonder if it'll catch on?
dallas,"Dallas, TX",@BrennenTaylor @SamandColby 😂💀
dallas,"Dallas, TX",@BrennenTaylor @SamandColby 😂💀
dallas,"Oak Cliff, Dallas",RT @ColourMeReddd: I'm gonna start blocking @bremoneaa and @96Livin_ at around 6 pm everyday. All these niggas do I cake all night. I'll se…
denver,"Denver, CO",Looking to find people who have the same passions &amp; hobbies as you? @Meetup has made it easy to find those people: https://t.co/eb7nV8K3Af.
detroit,"Detroit, MI","RT @ErinLyons__: From birth the world teaches you to be insecure, play small, and take what you can get. Fuck all of that."
los angeles,"Los Angeles, CA",RT @Tan_iStay: @NuWaveLA_ https://t.co/jHsfGS82Uh
chicago,"Chicago, IL Low End",RT @chiefteddy_: 1 https://t.co/vWq5FqL8ad
chicago,Chicago,RT @goldengateblond: I see Melania's fight against cyberbullying is going well. https://t.co/DMo2Ev2f4M
denver,"Denver, CO",RT @SeanTheTerrible: I would've fainted too ... Then I would've rolled on the floor until I was outside by my car. https://t.co/5zFvAbPei9
boston,"Boston, MA",@devopsdaysChi Thank you! &lt;3
chicago,Chicago burbs,@_swac No. That kid was into black metal and shit. This kid showed me the wait and bleed video in algebra lol
los angeles,Charlotte/Los Angeles/New York,@TheUnionHiphop I might have to brag a little about this call ⏳ https://t.co/dLTDD3cI6O
seattle,"Seattle, WA",@literallygreg You said you'd delete them
miami,MIAMI,"RT @cmilaprfect: SOCORRO OLHA O TAMANHO DA RABA

 https://t.co/xSkTkhawxb"
philadelphia,"Philadelphia, PA",RT @JordansJordans3: Chances make champions 🤷🏾‍♂️
chicago,"Chicago, IL",RT @Ton_039: I be so immune to the shit that be goin on when it happen I be like aw Ight 😂
houston,Houston-Alief Made Me,RT @TylerTexas19: #BlackExcellence https://t.co/e0OlgO0kvi
los angeles,Los Angeles,Wearing dark lipstick is the quickest way to get people to pay attention. #witchyvibes
chicago,"Lincoln Park, Chicago, IL",RT @greatist: Focus. Declutter. Find positive friends. And QUIT OVERTHINKING. https://t.co/1YPgSNsbq6
los angeles,"Los Angeles, CA",This made my morning https://t.co/a7nVCg2hkV
los angeles,"Los Angeles, CA",RT @vibeables: how disappointing is it when you mentally put an outfit together thinking you'll look smoking hot then you put it on and loo…
los angeles,"Los Angeles, CA",@CarolsDaughter9 @jaketapper @FLOTUS You are an idiot. Get a job sore loser whiner
los angeles,"Los Angeles, CA",RT @anamariecox: That is how misogyny works. https://t.co/gYXzkWW4mp
atlanta,Atlanta by way of Brooklyn,Fat pussy appropriation smh
los angeles,"Los Angeles, CA",RT @WeekndDruggs: i will always be the dumbass with a big heart who gives more than they get
los angeles,"Los Angeles, CA",Just be glad you don't need a #HeterosexualPrideDay. I can't believe this is serious. People are sick. https://t.co/9QkmbwQWRK
los angeles,"Los Angeles, CA",RT @belugachop: 4. sleeping like an official pillow https://t.co/6WlwDvZb0k
los angeles,Los Angeles,"Still hard to believe I get to work with @kellymcevers every day. An incredible reporter, a complete badass, and great friend #WomenOfNPR"
los angeles,"Los Angeles, CA",@otariano @rafamenezs
chicago,"Chicago, IL",RT @devour: Everything Wrong With Apple's Planet of the Apps https://t.co/f2RclU5bzb https://t.co/klblERAHaR
houston,"Houston, TX",@AmbrosiaVoyeur @Jen_Lee That’s going on my list of things to cross-stitch
seattle,seattle,"@ustwogames #monumentvalley2 is truly disappointing - shallow, repetitive and short at the same time, still a beautiful design though"
new orleans,"New Orleans, LA","RT @sublevarse: All I want out of Life is to be financially comfortable, and be able to Travel anywhere I want ..whenever I want"
chicago,"Chicago, IL",RT @sinfulbluu: I'm too goofy for this shit. Be in that bih flying around like Peter Pan 🤦🏽😭. https://t.co/hBEUEbiRLz
boston,"Boston, MA","RT @dearjackhq: Video | AYA Cancer and Relationships #raiseyourvoice 
https://t.co/NuithUNBhO"
houston,"Houston, TX","RT @DamnDidHeReally: You put the baby in the crib and this nigga says \"shut the door behind you\" https://t.co/N4EMHFACrz"
miami,"Miami, FL","Y tipo que les digo porque tengoAmistades de ahí y ellos mismo lo miran estupido asi que (?
Tipo: katy, Por que la gente americana dice eso?"
philadelphia,Brooklyn Philadelphia,@ltvsquad #bqx #sham
los angeles,"Los Angeles, CA",RT @EthanDolan: Gray and I just broke our favorite camera... is there a curse going around? I need to see a wizard
los angeles,Los Angeles,RT @J_ColeeNC: Instead of bringing each other down we need to come together and prosper 🙌🏽🙏🏽
los angeles,"Los Angeles, CA",RT @MattZeitlin: https://t.co/rng6B7WZ7q
boston,"Boston, MA",RT @BillyJoYcE16: @benshapiro @Memeforger Debate @NickJFuentes Ben.
houston,"Houston, TX, USA",RT @BaddiessNation: Who dat?😍😍 https://t.co/cI5BLiTBRh
detroit,"Detroit, MI","RT @KassandraSeven: 5 Calls: Make your voice heard

Call! Call! Call! There are dozens of issues besides #Trumpcare! https://t.co/bUYmc5gnUC"
denver,"Denver,",RT @_amontoyaa: I'm not gonna fuck with anyone heavier than they fuck with me
dallas,dallas,"RT @thisjenlewis: *Clears throat as if to announce something extremely important*
\"Jurassic Park\" but the dinosaurs are from the ‘90s…"
los angeles,"Los Angeles, ca",RT @abomarzoogvideo: وفيات اليوم https://t.co/zwZiwqxC3v https://t.co/s5s32gT9u4
los angeles,"Los Angeles, CA",قررت المشاركة في خفض الإعاقات الناتجة عن الحوادث وذلك بربط حزام الأمان.. وأدعوك للمشاركة https://t.co/NNuEwuXcEb
chicago,Chicago - South Loop,"Large 3b/2ba #townhome w/ finished basement and extra fridge. For rent 2338 South Canal St J, #CHICAGO #RealEstate… https://t.co/v5dqLAyBs2"
boston,"Boston, MA",RT @barstoolsports: When your company caters lunch with Chipotle https://t.co/QdL1WViYyG
philadelphia,"Philadelphia, PA",RT @camerondallas: MAGCON DATES COMING SOON
houston,"Houston, TX",New shit coming soon 🌌🤘🏽 https://t.co/Se8MlMZwbm
chicago,"Chicago, IL",@hurlmore 10th*
philadelphia,"Parkwood Manor, Philadelphia",RT @kailaalis: Have you ever not liked someone for no reason at all? Like they could be living their everyday life and ur just annoyed by i…
chicago,Chicago,1 Chicago News Search Businesses (Police may have break in North Side bump-and-runs) 1 Chicago News &amp; Search - https://t.co/Kx0oppLENY
los angeles,Los Angeles,"RT @oldhollywood21: Alfred Hitchcock directs a scene from The Mountain Eagle in 1926. His future wife, Alma Reville, is behind him.…"
los angeles,"Los Angeles, CA",RT @TheRealDratch: Every time someone says the president is a child or a toddler all I can think of is I've never met a child who's this mu…
dallas,"Dallas, Texas",@graciela020317 Thanks for your follow! See our blueprint to a successful online business https://t.co/VxbvXFO2is
chicago,"Chicago,IL",Period 💯 https://t.co/033O5U0tnf
chicago,Chicago,When you realize the raise kicks in this paycheck instead of next months #schmoneydance 💵🕺🏻 https://t.co/6zV1QcPduF
chicago,Chicago,RT @maralsip: @Jenna_Marbles this is everything I've ever needed in my life https://t.co/XgK6mV0ZM2
chicago,"Chicago, IL",RT @pabotaeh: Whole group of visuals https://t.co/xUxoVCglnD
philadelphia,Philadelphia,RT @GenevaGlobal: The owner of @HeungKongG is proof that #philanthropy in China continues to boom. https://t.co/veTOZrSKi1
chicago,"Chicago, IL ✈️ Houston, TX",RT @FreddyAmazin: Blessing y'all's timeline. 🔥 https://t.co/W0sDyuNsaA
houston,"Houston, TX",RT @ABDULSZN: the government https://t.co/ti3kG3DKWW
atlanta,Atlanta,-  https://t.co/JETTLgN4Vz
los angeles,"Los Angeles, Ca",RT @PattyArquette: @TheRoot @wkamaubell She did not do anything worthy of being arrested at all- she never should have been arrested.
los angeles,"Los Angeles, CA",@_iPiiNKYPROMiSE For Jesus and Jesus only... lmao
atlanta,"Atlanta, GA","RT @ohhcami_: Yes because when you choose to forgive, they don't. https://t.co/mQyeR2oPzK"
chicago,Chicago Standard Time,this tweet is old enough to have its health insurance taken away https://t.co/4pRQRGMmCY
atlanta,"Atlanta, GA",RT @MaltaDoctor: @MaltaDoctor | Malta | Medical | Doctor | Health | Medicine | Care | Advice | News | Views | Blog | Website | Clini…
boston,"Boston, MA",Ya be on some weird ass shit yo 😂
atlanta,"College Park, Atlanta.",RT @success1st_: Lmaoooooooooo bruh why y'all still fighting this man https://t.co/vBHavV7Jh2
boston,"California, NYC, Boston, VT",@MelissaKester @SethN12 Touche!!! 😀😀
los angeles,"Los Angeles, CA",RT @joeyBADASS: New music next week. Summer vibes for ya head tops.
dallas,"Dallas, TX",She got a better job offer and left our job even though she made more than anyone in the department so she knows where I'm coming from.
miami,Miami,https://t.co/aU0kvzDjeO
houston,"Houston, TX",JEAN GREY &amp; WOLFSBANE looking hella good. #GameOfThrones😍 https://t.co/SHWUEVeopB
los angeles,Maine and Los Angeles,RT @supermorgy: New trailer on 'Marvel's Spider-Man' Disney XD cartoon series released https://t.co/t4PRqXNpU1
